"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401693677","2024","1","regular","2024-08-24T04:00:00.000Z","true","true","true","false","","","","124179","Lincoln (CA)","Independent DII","ii","7","0","0","0","7","","","","108382","College of Idaho","","","45","14","7","14","10","","","","","",""
"401635525","2024","1","regular","2024-08-24T16:00:00.000Z","false","true","true","true","","3504","Aviva Stadium","59","Georgia Tech","ACC","fbs","24","7","7","0","10","0.9913955304658811","1497","1513","52","Florida State","ACC","fbs","21","8","6","0","7","0.008604469534118864","1692","1676","7.8222239620","","Aer Lingus College Football Classic"
"401654665","2024","1","regular","2024-08-24T19:30:00.000Z","false","true","false","false","","3827","Memorial Stadium (Stephenville, TX)","2627","Tarleton State","UAC","fcs","26","16","10","0","0","0.054366198232126725","","","2377","McNeese","Southland","fcs","23","7","0","3","13","0.9456338017678733","","","5.5640247878","",""
"401643697","2024","1","regular","2024-08-24T20:00:00.000Z","false","true","false","false","","3971","University Stadium (NM)","167","New Mexico","Mountain West","fbs","31","10","14","7","0","0.30110066648514766","1234","1234","147","Montana State","Big Sky","fcs","35","0","14","0","21","0.6988993335148523","","","4.9273181699","",""
"401654662","2024","1","regular","2024-08-24T23:00:00.000Z","false","true","true","false","","3689","Cramton Bowl","2546","Southeast Missouri State","Big South-OVC","fcs","37","7","6","8","16","0.994947815730074","","","2453","North Alabama","UAC","fcs","15","8","7","0","0","0.005052184269926041","","","7.1719013459","","FCS Kickoff"
"401636372","2024","1","regular","2024-08-24T23:30:00.000Z","false","true","true","false","","4246","Center Parc Stadium","2450","Norfolk State","MEAC","fcs","23","14","0","3","6","0.918362106299498","","","50","Florida A&M","SWAC","fcs","24","7","3","14","0","0.081637893700502","","","4.6903128028","","Cricket MEAC/SWAC Challenge Kickoff"
"401643696","2024","1","regular","2024-08-25T00:00:00.000Z","false","true","false","false","","3816","Mackay Stadium","2440","Nevada","Mountain West","fbs","24","7","10","7","0","0.1027094743544201","1222","1243","2567","SMU","ACC","fbs","29","0","10","3","16","0.8972905256455799","1690","1669","7.6714922497","",""
"401643858","2024","1","regular","2024-08-25T03:59:00.000Z","false","true","false","false","","7220","Clarence T.C. Ching Athletics Complex","62","Hawai'i","Mountain West","fbs","35","14","0","7","14","0.9564689570884497","1227","1227","2169","Delaware State","MEAC","fcs","14","0","7","7","0","0.0435310429115503","","","5.2243562780","",""
"401675545","2024","1","regular","2024-08-29T04:00:00.000Z","true","true","false","true","","6123","Jackson Field","2834","Sul Ross State","Lone Star","ii","21","0","7","14","0","","","","2704","West Texas A&M","Lone Star","ii","42","0","21","7","14","","","","","",""
"401674318","2024","1","regular","2024-08-29T22:00:00.000Z","false","true","false","false","","3950","Superior Dome","128","Northern Michigan","GLIAC","ii","7","0","0","0","7","","","","134","Minnesota Duluth","Northern Sun","ii","35","6","7","15","7","","","","","",""
